Mod name											|License		|Source code												|ZH version	|Completion rate		|Verified	|Pushed		|on_tick
:---------------------------------------------------|:-------------:|:----------------------------------------------------------|:---------:|----------------------:|:---------:|-----------|-------
[Factorio Standard Library][]						|MIT			|[Github][Afforess/Factorio-Stdlib]							|1.2.1		|Description only	100%|1.2.1		|none		|
[A Better Start (Quick Start)][]					|MIT			|[Github][]													|0.3.0		|					100%|0.3.0		|none		|
[Actual Craft Time][]								|MIT			|[Github][]													|0.3.9		|Hard-coded text	100%|0.3.9		|none		|
[Adequate Bot Start][]								|MIT			|[Github][dtandersen/AdequateBotStart]						|0.16.1		|Description only	100%|0.16.1		|none		|
[Advanced Belt Laying][]							|MIT			|[Github][]													|0.16.0		|Description only	100%|0.16.0		|none		|
[Alien Biomes][]									|N/A			|[Github][]													|0.4.15		|Hard-coded text	100%|0.3.10		|none		|
[Alien Biomes High-Res Terrain][]					|N/A			|[Github][]													|0.4.1		|Description only	100%|0.4.1		|none		|
[Armor Pockets][]									|MIT			|[Github][]													|0.17.4		|					100%|1.0.5		|none		|
[Atomic Artillery][]								|MIT			|[Github][sirdoombox/AtomicArtillery]						|0.1.11		|					100%|0.1.11		|none		|
[Auto Deconstruct][]								|MIT			|[Github][]													|0.1.12		|					100%|0.1.12		|none		|
[Auto Research][]									|MIT			|[Github][canidae/factorio]									|5.0.2		|					100%|5.0.2		|none		|
[Beautiful Bridge Railway][]						|MIT			|[Github][]													|0.17.3		|					100%|0.17.2		|none		|
[Automatic Belt Planner][]							|MIT			|[Github][]													|0.12.0		|					100%|0.12.0		|none		|
[Automatic Train Painter][]							|MIT			|[Github][]													|0.2.9		|					100%|false		|none		|
[Belt Reverser][]									|MIT			|[Github][Cogito/belt-reverser]								|0.0.5		|					100%|0.0.5		|none		|
[Better Inserters][]								|Non-standard	|[Github][]													|1.0.0		|					100%|1.0.0		|none		|
[Better Ore Icons][]								|MIT			|[Github][GeekinaCave/better_ore_icons]						|0.17.2		|Description only	100%|0.17.2		|none		|
[Blueprintable Trains][]							|MIT			|[Github][DaveMcW/blueprint-train]							|0.16.20	|					100%|0.16.20	|none		|
[Blueprint Alignment][]								|MIT			|[Github][steffen-kiess/factorio-BlueprintAlignment]		|0.0.5		|Hard-coded text	100%|0.0.5		|none		|
[Bio Industries][]									|MIT			|[Github][]													|0.17.28	|					100%|2.7.0		|none		|
